atleta_id,fbref_xG_jogo,fbref_xA_jogo
73992,0.015384615384615385,0.007692307692307693
74061,0.0,0.0
74084,,
74157,,
74187,0.0,0.0
75295,,
77485,0.0,0.0
77544,,
77570,,
77656,0.0,0.0
77664,0.0,0.0
77713,,
77738,0.06,0.02
77774,,
77777,0.0,0.0
77809,,
77959,,
78077,,
78117,0.0,0.0
78248,0.0,0.0
78435,0.0,0.0
78445,0.0,0.0
78450,,
78478,0.0,0.0
78479,,
78548,0.013333333333333334,0.04
78580,,
78584,,
78605,0.0,0.0
78715,0.12,0.0
78850,0.0,0.0
78851,0.0,0.0
78855,0.0,0.0
78856,,
78865,,
78867,,
79035,,
79066,0.0,0.0
79113,,
79188,0.0,0.0
79266,0.0,0.0
79268,,
79334,,
79437,,
79631,0.0,0.0
79701,0.028125,0.040625
79702,0.0,0.0
79825,,
79973,0.0,0.0
80061,0.0,0.0
80076,,
80079,,
80129,0.0,0.0
80193,0.0,0.0
80196,0.0,0.0
80225,,
80287,0.0,0.0
80313,0.0,0.0
80337,,
80370,,
80538,0.0,0.0
80570,0.0,0.0
80583,0.0,0.0
80664,0.0,0.0
80692,0.0,0.0
80853,,
81031,,
81091,0.0,0.0
81121,0.0,0.0
81150,0.0,0.0
81161,,
81401,0.0,0.0
81551,,
81677,,
81682,,
81776,,
81798,0.0,0.0
81845,0.0,0.0
81881,0.0,0.0
81905,,
81952,0.047058823529411764,0.0058823529411764705
81965,,
81966,,
82334,,
82381,,
82407,0.0,0.0
82453,,
82455,0.0,0.0
82463,0.0,0.0
82540,0.0,0.0
82627,0.10294117647058823,0.12058823529411763
82628,0.0,0.0
82634,,
82639,0.0,0.0
82640,,
82647,,
82730,,
82747,,
82764,,
82766,,
82775,0.0,0.0
82792,,
82943,,
83004,0.0,0.0
83048,0.0,0.0
83251,0.0,0.0
83257,0.18928571428571428,0.03928571428571429
83266,,
83276,,
83433,0.0,0.0
83438,,
83528,0.08484848484848484,0.01818181818181818
83772,,
83786,0.022222222222222223,0.0
83817,,
84042,0.0,0.0
