Clube,Pos,Nome,Status,Jogos,Média,M. Básica,Escanteios/Jogo,XA/Jogo,XG/Jogo,Assistências,Gols,G + A
SAN,MEI,Zé Rafael,0,22,4.3,5.19,0.0,0.22,0.4,0,1,1
INT,MEI,Óscar Romero,0,14,1.55,1.88,0.0,0.2,0.21,1,0,1
Clube 292,LAT,Luan Cândido,0,10,2.89,3.81,0.0,0.07,0.22,0,1,1
CAM,MEI,Fausto Vera,0,12,2.21,2.93,0.0,0.03,0.15,0,1,1
COR,MEI,Dieguinho,0,11,1.85,2.18,0.0,0.18,0.15,1,0,1
Clube 286,MEI,Peixoto,0,10,3.28,3.61,0.0,0.08,0.26,0,1,1
CRU,ZAG,Villalba,0,29,5.22,5.78,0.0,0.08,0.16,0,1,1
Clube 356,MEI,Calebe,0,5,2.27,3.18,0.0,0.1,0.38,0,1,1
RBB,LAT,Nathan Mendes,0,15,2.33,2.66,0.0,0.19,0.19,1,0,1
GRE,MEI,Dodi,0,20,1.78,2.99,0.0,0.21,0.24,1,0,1
Clube 356,ZAG,Brítez,0,12,2.64,3.81,0.0,0.2,0.18,1,0,1
Clube 286,ZAG,Wilker Ángel,0,10,1.51,2.97,0.0,0.04,0.16,0,1,1
FLA,ZAG,Danilo,0,15,3.62,5.0,0.0,0.03,0.13,0,1,1
COR,ATA,Kayke,0,5,1.68,2.82,0.0,0.28,0.15,1,0,1
Clube 356,MEI,Lucas Sasha,0,25,5.05,5.25,0.0,0.08,0.16,0,1,1
FLA,MEI,Evertton Araújo,0,11,2.21,3.31,0.0,0.08,0.22,0,1,1
VAS,ZAG,Lucas Freitas,0,13,2.15,3.1,0.0,0.08,0.2,0,1,1
PAL,MEI,Aníbal Moreno,0,22,2.82,3.2,0.0,0.09,0.08,1,0,1
MIR,MEI,Yago Felipe,0,14,1.79,2.4,0.0,0.24,0.27,1,0,1
CAM,MEI,Alan Franco,0,21,2.39,3.1,0.0,0.07,0.17,0,1,1
RBB,MEI,Fabinho,0,21,1.88,2.56,0.0,0.12,0.12,1,0,1
CAM,ZAG,Ruan,0,5,5.5,5.5,0.0,0.08,0.32,0,1,1
MIR,MEI,Guilherme Marques,0,10,2.47,2.47,0.0,0.09,0.25,0,1,1
SAN,ZAG,João Basso,0,6,4.42,4.42,0.0,0.1,0.32,0,1,1
Clube 356,MEI,Kervin Andrade,0,5,1.41,2.46,0.0,0.28,0.13,1,0,1
PAL,LAT,Vanderlan,0,16,3.18,3.38,0.0,0.13,0.11,1,0,1
SAO,MEI,Rodriguinho,0,12,2.16,3.69,0.0,0.12,0.1,1,0,1
INT,ATA,Enner Valencia,0,9,1.6,2.88,0.0,0.14,0.36,0,1,1
SAO,MEI,Pablo Maia,0,17,1.94,3.02,0.0,0.16,0.31,0,1,1
Clube 356,LAT,Diogo Barbosa,0,13,3.32,4.16,0.0,0.08,0.22,0,1,1
VIT,ATA,Lucas Braga,0,17,2.15,2.58,0.0,0.14,0.28,0,1,1
SAO,ATA,Dinenno,0,5,1.56,3.14,0.0,0.08,0.35,0,1,1
GRE,MEI,Monsalve,0,5,1.26,2.34,0.0,0.36,0.25,1,0,1
BOT,ZAG,Jair,0,9,5.37,5.97,0.0,0.19,0.14,1,0,1
FLU,LAT,Renê,0,25,6.47,6.73,0.0,0.09,0.19,0,1,1
BOT,MEI,Barrera,0,5,3.32,3.32,0.0,0.16,0.45,0,1,1
COR,ATA,Ángel Romero,0,18,1.82,2.99,0.0,0.19,0.24,1,0,1
VAS,MEI,Hugo Moura,0,20,1.77,3.32,0.0,0.11,0.1,1,0,1
Clube 354,ZAG,Willian Machado,0,29,3.78,4.33,0.0,0.09,0.09,1,0,1
