CLUBE,POS,NOME,JOGOS,MÉDIA,M. BÁSICA,ESCANTEIOS/JOGO,XA/JOGO,XG/JOGO,ASSISTÊNCIAS,GOLS,G + A
Flamengo,ATA,Plata,27,3.25,1.88,0.0,0.14,0.21,1,4,5
Internacional,MEI,Alan Rodríguez,15,3.25,2.91,0.0,0.03,0.06,0,0,0
Botafogo,MEI,Danilo,11,3.25,2.07,0.0,0.09,0.08,3,1,4
Vasco,MEI,Barros,16,3.25,2.75,0.0,0.03,0.03,0,0,0
Mirassol,ZAG,João Victor,31,3.24,2.56,0.0,0.02,0.08,1,2,3
Atlético-MG,LAT,Caio Paulista,16,3.24,3.24,0.0,0.05,0.09,0,0,0
,LAT,Ewerthon,18,3.24,2.79,0.0,0.04,0.12,0,1,1
,MEI,Vinícius Zanocelo,14,3.23,2.66,0.0,0.03,0.03,0,0,0
Fluminense,LAT,Gabriel Fuentes,11,3.22,3.22,0.0,0.05,0.02,0,0,0
Grêmio,ZAG,Wagner Leonardo,27,3.2,3.01,0.0,0.03,0.08,2,0,2
Grêmio,ZAG,Jemerson,9,3.2,2.31,0.0,0.0,0.11,0,1,1
,ZAG,Rodrigo Sam,16,3.19,3.19,0.0,0.01,0.04,0,1,1
Bragantino,ZAG,Pedro Henrique,31,3.19,2.77,0.0,0.03,0.03,1,1,2
Bahia,ZAG,David Duarte,26,3.19,2.69,0.0,0.04,0.07,1,1,2
São Paulo,LAT,Maílton,8,3.19,3.19,0.0,0.03,0.05,1,0,1
,ZAG,David Luiz,6,3.18,3.18,0.0,0.01,0.04,0,0,0
Bragantino,LAT,Vanderlan,17,3.18,2.88,0.0,0.12,0.0,1,0,1
Bragantino,ATA,Vinicinho,22,3.15,2.47,0.0,0.07,0.07,2,0,2
Fluminense,ZAG,Freytes,31,3.15,3.15,0.0,0.02,0.03,0,0,0
Mirassol,MEI,Gabriel,24,3.15,1.4,0.0,0.14,0.18,2,4,6
Botafogo,ATA,Nathan Fernandes,9,3.14,1.14,0.0,0.2,0.39,2,1,3
Flamengo,LAT,Viña,8,3.12,3.12,0.0,,,0,0,0
Flamengo,ATA,Michael,13,3.12,1.35,0.0,0.35,0.23,3,1,4
Bahia,MEI,Michel Araújo,22,3.11,1.66,0.0,0.06,0.14,1,4,5
Palmeiras,ATA,Estêvão,11,3.1,1.74,0.0,0.22,0.13,3,0,3
Corinthians,GOL,Matheus Donelli,5,3.08,3.08,0.0,0.0,0.0,0,0,0
,GOL,Gustavo,10,3.08,3.08,0.0,0.0,0.0,0,0,0
Mirassol,ATA,Carlos Eduardo,23,3.06,1.5,0.0,0.29,0.42,4,1,5
Bragantino,ATA,Isidro Pitta,21,3.06,0.16,0.0,0.13,0.23,1,7,8
Internacional,ATA,Ricardo Mathias,22,3.05,1.01,0.0,0.04,0.57,0,4,4
,ZAG,Chico,13,3.05,3.05,0.0,0.05,0.03,0,0,0
Grêmio,LAT,João Pedro,7,3.03,3.03,0.0,0.03,0.01,0,0,0
Corinthians,LAT,Hugo,10,3.03,3.03,0.0,0.03,0.02,0,0,0
,ZAG,Gustavo Mancha,12,3.02,3.02,0.0,0.0,0.02,0,0,0
,ATA,Marinho,16,3.02,1.9,0.0,0.33,0.31,2,1,3
Mirassol,ATA,Chico da Costa,19,3.02,0.92,0.0,0.05,0.32,0,6,6
Botafogo,ATA,Joaquín Correa,18,3.02,2.13,0.0,0.08,0.24,0,2,2
Cruzeiro,ATA,Gabriel,30,3.02,1.08,0.0,0.11,0.52,2,6,8
Fluminense,ATA,John Kennedy,15,2.99,1.59,0.0,0.14,0.28,1,1,2
,MEI,Jadson,32,2.99,2.68,0.0,0.04,0.03,2,0,2
,ATA,Fernandinho,20,2.98,2.73,0.0,0.05,0.2,1,0,1
Bahia,ZAG,Santiago Mingo,31,2.98,2.98,0.0,0.02,0.05,0,0,0
Santos,ZAG,Luan Peres,24,2.97,2.97,0.0,0.01,0.02,0,0,0
Santos,ZAG,Alexis Duarte,5,2.96,2.96,0.0,0.01,0.02,0,0,0
Palmeiras,MEI,Andreas Pereira,11,2.95,1.5,0.0,0.12,0.07,0,2,2
Atlético-MG,MEI,Igor Gomes,28,2.95,1.16,0.0,0.09,0.14,2,4,6
Fluminense,MEI,Hércules,32,2.94,2.04,0.0,0.01,0.08,1,3,4
,LAT,Reginaldo,16,2.93,2.31,0.0,0.04,0.01,2,0,2
Mirassol,MEI,Danielzinho,34,2.92,2.63,0.0,0.09,0.05,2,0,2
Bahia,LAT,Iago,13,2.92,2.31,0.0,0.05,0.13,0,1,1
,ATA,Chrystian Barletta,33,2.92,2.43,0.0,0.11,0.23,0,2,2
Bahia,ATA,Tiago,23,2.9,1.42,0.0,0.13,0.46,2,3,5
,LAT,Luan Cândido,13,2.89,2.28,0.0,,,0,0,0
Mirassol,ATA,Cristian,29,2.87,1.24,0.0,0.04,0.3,2,4,6
Bragantino,MEI,Gabriel,30,2.85,2.58,0.0,0.02,0.02,0,1,1
Botafogo,MEI,Gregore,11,2.85,2.85,0.0,0.05,0.02,0,0,0
Grêmio,MEI,Cuéllar,16,2.84,2.84,0.0,0.01,0.01,0,0,0
Palmeiras,MEI,Aníbal Moreno,25,2.82,2.62,0.0,0.1,0.03,1,0,1
,MEI,Zé Lucas,23,2.82,2.82,0.0,0.04,0.06,0,0,0
,TEC,Cláudio Tencati,10,2.82,2.82,0.0,0.09,0.17,0,0,0
Grêmio,MEI,Cristaldo,28,2.81,1.99,0.0,0.16,0.15,2,0,2
Grêmio,ATA,Arezo,8,2.81,1.19,0.0,,,0,0,0
Atlético-MG,ATA,Biel,14,2.81,1.88,0.0,0.38,0.28,2,1,3
,ZAG,Ramon Menezes,21,2.8,2.42,0.0,,,0,0,0
Palmeiras,ATA,Ramón Sosa,21,2.79,1.17,0.0,0.18,0.23,3,2,5
,TEC,César Lucena,8,2.78,2.78,0.0,0.11,0.14,1,3,4
Santos,MEI,Gabriel Bontempo,25,2.78,1.94,0.0,0.16,0.16,1,2,3
Fluminense,MEI,Nonato,20,2.76,1.71,0.0,0.04,0.06,0,1,1
Internacional,MEI,Fernando,6,2.75,2.75,0.0,0.03,0.08,0,0,0
Internacional,MEI,Thiago Maia,30,2.75,2.05,0.0,0.05,0.08,1,2,3
Santos,MEI,Thaciano,19,2.75,1.49,0.0,0.02,0.19,0,1,1
,ATA,Deyverson,22,2.75,1.66,0.0,0.05,0.49,0,7,7
Santos,MEI,Rollheiser,35,2.75,2.09,0.0,0.19,0.15,3,2,5
,MEI,Nenê,23,2.74,1.39,0.0,0.19,0.35,4,3,7
Bragantino,LAT,Sant'Anna,11,2.74,2.74,0.0,0.05,0.12,0,0,0
Corinthians,ATA,Talles Magno,24,2.73,2.19,0.0,0.06,0.41,1,1,2
Corinthians,GOL,Felipe Longo,6,2.72,2.72,0.0,0.0,0.0,0,0,0
Bragantino,ZAG,Guzmán Rodríguez,23,2.72,2.37,0.0,0.0,0.04,0,1,1
Internacional,ZAG,Vitão,30,2.7,2.37,0.0,0.04,0.03,1,0,1
Fluminense,MEI,Martinelli,31,2.7,1.86,0.0,0.08,0.07,2,2,4
São Paulo,ATA,Ryan Francisco,7,2.69,0.4,0.0,0.1,0.23,0,2,2
Corinthians,LAT,Angileri,28,2.69,2.69,0.0,0.07,0.05,1,1,2
São Paulo,MEI,Lucas Ferreira,12,2.68,2.68,0.0,0.07,0.13,0,0,0
Vitória,ZAG,Zé Marcos,27,2.68,2.39,0.0,0.01,0.09,1,1,2
Bragantino,TEC,Vagner Mancini,8,2.67,2.67,0.0,0.12,0.0,1,0,1
Palmeiras,MEI,Emiliano Martínez,24,2.66,2.33,0.0,0.07,0.05,0,1,1
,ZAG,Brítez,16,2.64,2.33,0.0,0.14,0.18,2,4,6
Atlético-MG,MEI,Gabriel Menino,19,2.64,1.96,0.0,0.09,0.09,1,1,2
,MEI,Rivera,30,2.63,2.63,0.0,0.03,0.15,0,0,0
Palmeiras,MEI,Raphael Veiga,21,2.63,1.77,0.0,0.26,0.19,4,2,6
Santos,MEI,João Schmidt,30,2.62,1.76,0.0,0.05,0.05,2,0,2
Fluminense,ATA,Keno,16,2.61,1.49,0.0,0.07,0.24,2,1,3
,ATA,Ênio,24,2.61,1.61,0.0,0.1,0.22,0,3,3
São Paulo,ZAG,Alan Franco,28,2.6,2.6,0.0,0.02,0.04,0,0,0
Internacional,ZAG,Clayton Sampaio,10,2.59,2.59,0.0,0.0,0.04,0,0,0
Bragantino,MEI,Eric Ramires,30,2.58,1.88,0.0,0.02,0.15,1,2,3
Vitória,MEI,Willian Oliveira,18,2.58,2.13,0.0,0.01,0.06,0,1,1
Botafogo,ATA,Matheus Martins,13,2.58,1.97,0.0,0.06,0.2,0,1,1
,MEI,Matheus Pereira,16,2.57,1.13,0.0,0.24,0.14,7,6,13
Vasco,ZAG,Robert Renan,15,2.57,2.57,0.0,0.02,0.03,0,0,0
Cruzeiro,ZAG,Jonathan Jesus,13,2.56,2.56,0.0,0.06,0.0,1,0,1
Santos,ATA,Tiquinho Soares,27,2.56,1.41,0.0,0.08,0.3,3,2,5
,ZAG,Lucas Gazal,5,2.56,2.56,0.0,0.06,0.08,1,0,1
Flamengo,MEI,De la Cruz,19,2.55,2.55,0.0,0.1,0.06,0,0,0
Internacional,ZAG,Juninho,20,2.54,2.54,0.0,0.0,0.06,0,0,0
,MEI,Lourenço,30,2.54,1.84,0.0,0.11,0.12,1,2,3
Santos,ATA,Caballero,12,2.54,1.46,0.0,0.18,0.26,1,1,2
,LAT,Aderlan,13,2.53,2.53,0.0,0.0,0.0,0,0,0
Bahia,MEI,Erick,15,2.52,1.99,0.0,0.01,0.21,0,1,1
,MEI,Lucas Crispim,7,2.51,1.37,0.0,0.11,0.16,1,1,2
,ATA,Lucero,24,2.5,1.29,0.0,,,0,0,0
Grêmio,MEI,Edenílson,28,2.48,1.27,0.0,0.09,0.22,1,3,4
Mirassol,MEI,Guilherme Marques,10,2.47,1.67,0.0,0.14,0.19,0,2,2
Fluminense,ZAG,Manoel,5,2.46,2.46,0.0,0.0,0.05,0,0,0
Santos,ZAG,Luisão,6,2.45,2.45,0.0,0.0,0.02,0,0,0
Vitória,ZAG,Neris,10,2.44,2.44,0.0,0.0,0.04,0,0,0
Internacional,MEI,Bruno Henrique,28,2.43,1.86,0.0,0.04,0.16,0,2,2
São Paulo,MEI,Matheus Alves,7,2.43,1.71,0.0,0.17,0.08,1,0,1
,ATA,Pablo,19,2.43,1.33,0.0,,,0,0,0
Corinthians,ATA,Gui Negão,22,2.42,1.1,0.0,0.05,0.22,1,3,4
São Paulo,LAT,Patryck,5,2.4,2.4,0.0,0.02,0.08,0,0,0
