Clube,Jogador,Status,3 Jogos,5 Jogos,MAX 3,MAX 5,Últimos 3 Jogos (%),% D
RBB,Gustavo Marques ZAG,0,3.47,2.56,3,5,100.0,81.8
SAO,Henrique ATA,0,3.45,3.45,2,2,66.67,66.7
Clube 292,César Lucena TEC,0,3.44,3.33,3,5,100.0,87.5
Clube 356,Matheus Pereira MEI,0,3.43,3.24,3,5,100.0,68.8
Clube 354,Galeano ATA,0,3.4,2.36,3,5,100.0,97.1
SAO,Arboleda ZAG,0,3.37,5.72,3,5,66.67,87.5
Clube 286,Wilker Ángel ZAG,0,3.37,3.96,3,5,33.33,58.8
Clube 292,Du Queiroz MEI,0,3.37,2.9,3,5,33.33,63.6
BOT,Léo Linck GOL,0,3.37,4.38,3,5,100.0,85.7
BAH,Michel Araújo MEI,0,3.37,4.44,3,5,100.0,63.6
CRU,Fabrício Bruno ZAG,0,3.37,7.54,3,5,66.67,93.9
Clube 292,Daniel Paulista TEC,0,3.35,4.09,3,5,100.0,90.0
RBB,Andrés Hurtado LAT,0,3.33,3.84,3,5,33.33,73.1
SAN,Gil ZAG,0,3.33,3.5,3,5,33.33,55.6
GRE,Arthur Melo MEI,0,3.33,3.68,3,5,100.0,91.7
CRU,Leonardo Jardim TEC,0,3.32,5.07,3,5,100.0,100.0
GRE,Cuéllar MEI,0,3.3,3.28,3,5,100.0,87.5
VAS,João Victor ZAG,0,3.3,3.68,3,5,66.67,80.0
FLA,Everton ATA,0,3.3,2.8,3,5,100.0,81.0
COR,Memphis Depay ATA,0,3.3,5.4,3,5,100.0,87.0
COR,Cacá ZAG,0,3.27,2.3,3,5,100.0,78.9
Clube 286,Ruan Carneiro GOL,0,3.27,3.32,3,4,100.0,100.0
