Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 34,Unnamed: 35,MP.1,Clube
Felipe Anderson,br BRA,"MF,FW",32-226,,24,1773.0,19.7,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,2.3,2.3,1.8,4.1,61.0,101.0,105.0,0.2,0.1,0.3,0.2,0.3,0.12,0.09,0.21,0.12,0.21,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,31.0,Palmeiras
Vitor Roque,br BRA,FW,20-272,,23,2037.0,22.6,16.0,3.0,19.0,15.0,1.0,1.0,4.0,0.0,12.5,11.8,2.6,14.4,58.0,31.0,153.0,0.71,0.13,0.84,0.66,0.8,0.55,0.12,0.67,0.52,0.63,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,32.0,Palmeiras
Agustín Giay,ar ARG,DF,21-315,,20,1888.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,1.4,1.7,33.0,81.0,89.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,28.0,Palmeiras
José Manuel López,ar ARG,"FW,MF",24-356,,20,1882.0,20.9,10.0,2.0,12.0,8.0,2.0,2.0,5.0,0.0,10.9,9.3,2.7,12.0,49.0,58.0,108.0,0.48,0.1,0.57,0.38,0.48,0.52,0.13,0.65,0.44,0.57,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,31.0,Palmeiras
Facundo Torres,uy URU,"FW,MF",25-228,,19,1598.0,17.8,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,3.9,3.9,3.1,7.0,31.0,96.0,124.0,0.28,0.17,0.45,0.28,0.45,0.22,0.17,0.39,0.22,0.39,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,28.0,Palmeiras
Murilo Cerqueira,br BRA,DF,28-245,,19,1570.0,17.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,1.0,1.6,4.0,64.0,6.0,0.06,0.06,0.11,0.06,0.11,0.04,0.06,0.09,0.04,0.09,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,19.0,Palmeiras
Aníbal Moreno,ar ARG,MF,26-198,,18,1728.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,2.0,2.6,18.0,85.0,11.0,0.0,0.05,0.05,0.0,0.05,0.03,0.1,0.14,0.03,0.14,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,27.0,Palmeiras
Bruno Fuchs,br BRA,"DF,MF",26-240,,17,1588.0,17.6,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,0.8,1.9,18.0,112.0,6.0,0.11,0.0,0.11,0.11,0.11,0.06,0.05,0.11,0.06,0.11,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,25.0,Palmeiras
Mauricio,br BRA,"MF,FW",24-189,,17,1521.0,16.9,3.0,7.0,10.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,3.1,7.0,29.0,64.0,90.0,0.18,0.41,0.59,0.18,0.59,0.23,0.18,0.42,0.23,0.42,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,28.0,Palmeiras
Emiliano Martínez,uy URU,"MF,DF",26-102,,16,1443.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.2,1.9,11.0,70.0,8.0,0.06,0.0,0.06,0.06,0.06,0.05,0.07,0.12,0.05,0.12,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,24.0,Palmeiras
