atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
141627,Lucas Vieira,FLA,262,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141615,Pedro Ferreira,SAO,276,Meia,4,Nulo,0.0,0.79,-0.11,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141626,Pedro Fachinetti,FLA,262,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141609,Lucca,SAO,276,Atacante,5,Nulo,1.2,1.67,0.13,1.24,8,11.0,0.0,1.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141754,Gabriel Bontempo,SAN,277,Meia,4,Nulo,0.0,5.21,-0.12,2.78,25,19.0,0.0,0.0,26.0,11.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0.0,0.0,0.0,0.0,0.0
141751,Zappelini,BOT,263,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141628,Pablo Lúcio,FLA,262,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141873,Jacaré,COR,264,Lateral,2,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141776,Gustavo Henrique,SAN,277,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141763,Fabiano Souza,CEA,354,Lateral,2,Nulo,0.0,6.61,0.0,3.92,31,40.0,1.0,0.0,38.0,45.0,2.0,6.0,0.0,0.0,11.0,0.0,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141771,Athyrson,RBB,280,Atacante,5,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141806,Guilherme,CEA,354,Atacante,5,Nulo,0.0,2.75,0.0,1.53,6,5.0,0.0,0.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141868,Vinicius Lira,SAN,277,Lateral,2,Nulo,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
37457,Léo Condé,CEA,354,Técnico,6,Provável,4.09,8.19,0.23,4.98,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0
141643,Fernando Costa,RBB,280,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141996,João Silva,SPT,292,Zagueiro,3,Nulo,0.0,3.84,-0.18,2.12,14,3.0,0.0,1.0,9.0,11.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142257,Luis Eduardo,GRE,284,Zagueiro,3,Nulo,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141995,Dieguinho,COR,264,Meia,4,Nulo,3.5,2.5,0.02,1.85,13,10.0,0.0,0.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142261,Jeferson,GRE,284,Atacante,5,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142047,Gabriel Silva,CEA,354,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142004,Amuzu,GRE,284,Atacante,5,Provável,0.0,5.04,-1.91,3.5,21,22.0,0.0,3.0,5.0,9.0,11.0,17.0,0.0,0.0,0.0,2.0,3.0,3.0,,,0.0,0.0,0.0,0.0,0.0
142265,Dell,BAH,265,Atacante,5,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141874,Dedé,SPT,292,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142268,Zé Henrique,JUV,286,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142130,Marcelo Eráclito,CRU,283,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142049,Bruno Alves,CRU,283,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142086,Kauan Toledo,BOT,263,Atacante,5,Nulo,4.2,2.07,1.09,2.2,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142868,Johnny,FLA,262,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142279,Nuno Moreira,VAS,267,Atacante,5,Nulo,0.0,7.27,0.0,4.26,33,38.0,0.0,7.0,25.0,19.0,10.0,8.0,0.0,0.0,0.0,4.0,4.0,7.0,,,0.0,0.0,0.0,0.0,0.0
142484,Barrera,BOT,263,Meia,4,Provável,2.9,5.39,-0.16,3.32,5,8.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0
142890,Montoro,BOT,263,Meia,4,Provável,10.3,9.43,1.44,4.9,14,13.0,1.0,0.0,17.0,8.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,,,0.0,0.0,0.0,0.0,0.0
142445,Wanderson Papaterra,VIT,287,Meia,4,Nulo,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
143255,Kauan Vitor,VIT,287,Atacante,5,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142867,Robinho Jr.,SAN,277,Atacante,5,Nulo,1.5,2.29,0.07,1.3,14,5.0,1.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
142641,Wanderson,FLA,262,Lateral,2,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
143194,Martín Palermo,FOR,356,Técnico,6,Provável,3.19,10.09,-0.42,5.34,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0
143253,Wendell,VIT,287,Atacante,5,Nulo,0.0,1.83,0.0,2.5,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
