atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
105949,Rochet,Internacional,285,Goleiro,1,Provável,1.6,8.28,-0.3,3.26,15,Bragantino,280,1,3.26,3,3,3.567872515339399,0.19089368797568781,0.39371980676328505
106202,Bruno Gomes,Internacional,285,Lateral,2,Provável,3.2,7.94,-0.45,5.06,13,Bragantino,280,1,5.06,3,3,3.542959794093648,0.19089368797568781,0.6372795969773299
105990,Santiago Mingo,Bahia,265,Zagueiro,3,Provável,1.0,4.67,-0.36,2.95,31,Fluminense,266,-1,2.95,2,2,2.889718518866426,0.2520296900448832,0.6316916488222698
106294,Marcos Antônio,São Paulo,276,Meia,4,Provável,1.6,3.73,-0.49,1.9,28,Vitória,287,-1,1.9,1,2,2.4443001400407387,0.3011085576842932,0.5093833780160858
107093,Luciano Juba,Bahia,265,Lateral,2,Provável,4.6,9.34,-1.13,5.53,33,Fluminense,266,-1,5.53,2,2,4.988232364396441,0.2520296900448832,0.5920770877944326
106708,Igor Formiga,Juventude,286,Lateral,2,Provável,6.3,10.27,-0.66,7.47,16,Corinthians,264,-1,7.47,3,2,5.365969157570699,0.2464292402009341,0.7273612463485881
107812,Pierre,Fortaleza,356,Meia,4,Provável,0.5,3.4,-0.05,1.84,10,Botafogo,263,-1,1.84,5,4,2.166512815050439,0.2520107238605898,0.5411764705882354
107908,Hugo,Corinthians,264,Lateral,2,Provável,4.6,5.79,0.49,3.02,10,Juventude,286,1,3.02,2,2,2.3017143369429856,0.5862260807264457,0.5215889464594128
108588,Tapia,São Paulo,276,Atacante,5,Provável,5.3,7.24,-0.21,4.34,20,Vitória,287,-1,4.34,1,2,4.20330696876688,0.3011085576842932,0.5994475138121547
108133,Isidro Pitta,Bragantino,280,Atacante,5,Provável,-1.1,6.06,-0.37,3.06,21,Internacional,285,-1,3.06,4,3,4.440661683857056,0.24997982949197217,0.504950495049505
