atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
103295,Eric Ramires,Bragantino,280,Meia,4,Provável,0,5,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
112886,Lucas Barbosa,Bragantino,280,Atacante,5,Provável,0,8,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
110715,Andrés Hurtado,Bragantino,280,Lateral,2,Provável,0,4,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
110750,Gustavo Marques,Bragantino,280,Zagueiro,3,Provável,0,3,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
111246,Alix Vinicius,Bragantino,280,Zagueiro,3,Provável,0,6,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
124239,Henry Mosquera,Bragantino,280,Atacante,5,Provável,0,4,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
72605,Vitor Hugo,Atlético-MG,282,Zagueiro,3,Provável,0,7,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
39656,Alan Franco,Atlético-MG,282,Meia,4,Provável,0,7,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
68920,Dudu,Atlético-MG,282,Atacante,5,Provável,0,9,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
88312,Junior Alonso,Atlético-MG,282,Zagueiro,3,Provável,0,6,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
106593,Villalba,Cruzeiro,283,Zagueiro,3,Provável,0,10,0,0,0,Botafogo,263,-1,0.0,5,4,2.0,0.33,0.0
42135,Willian,Grêmio,284,Meia,4,Provável,0,6,0,0,0,Fluminense,266,-1,0.0,2,2,2.0,0.33,0.0
118774,Alexsander,Atlético-MG,282,Meia,4,Provável,0,8,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
70800,Jorge Sampaoli,Atlético-MG,282,Técnico,6,Provável,0,9,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
