atleta_id,rodada_real,apelido,posicao,rodada_x,preco_num,rodada_y,media_acumulada,media_previa,perfil
98022,2,Erick,Meia,2,4.0,2,0.04,0.04,Inesperado
98022,2,Erick,Meia,2,4.0,2,0.03333333333333333,0.03333333333333333,Inesperado
98022,2,Erick,Meia,2,4.0,2,0.028571428571428574,0.028571428571428574,Inesperado
98022,2,Erick,Meia,2,4.0,2,-0.1875,-0.1875,Inesperado
98022,2,Erick,Meia,2,6.0,2,0.05,0.05,Inesperado
98022,2,Erick,Meia,2,6.0,2,0.04,0.04,Inesperado
98022,2,Erick,Meia,2,6.0,2,0.03333333333333333,0.03333333333333333,Inesperado
98022,2,Erick,Meia,2,6.0,2,0.028571428571428574,0.028571428571428574,Inesperado
98022,2,Erick,Meia,2,6.0,2,-0.1875,-0.1875,Inesperado
98022,2,Erick,Meia,2,3.14,2,0.05,0.05,Inesperado
98022,2,Erick,Meia,2,3.14,2,0.04,0.04,Inesperado
98022,2,Erick,Meia,2,3.14,2,0.03333333333333333,0.03333333333333333,Inesperado
98022,2,Erick,Meia,2,3.14,2,0.028571428571428574,0.028571428571428574,Inesperado
98022,2,Erick,Meia,2,3.14,2,-0.1875,-0.1875,Inesperado
98022,2,Erick,Meia,2,0.0,2,0.05,0.05,Inesperado
98022,2,Erick,Meia,2,0.0,2,0.04,0.04,Inesperado
98022,2,Erick,Meia,2,0.0,2,0.03333333333333333,0.03333333333333333,Inesperado
98022,2,Erick,Meia,2,0.0,2,0.028571428571428574,0.028571428571428574,Inesperado
98022,2,Erick,Meia,2,0.0,2,-0.1875,-0.1875,Inesperado
85048,2,Memphis Depay,Atacante,2,0.0,2,,0.0,Inesperado
98225,2,Pedro Raul,Atacante,2,7.0,2,3.033333333333333,3.033333333333333,Inesperado
98225,2,Pedro Raul,Atacante,2,7.0,2,2.275,2.275,Inesperado
98225,2,Pedro Raul,Atacante,2,7.0,2,3.2,3.2,Inesperado
98225,2,Pedro Raul,Atacante,2,7.0,2,4.1499999999999995,4.1499999999999995,Inesperado
98225,2,Pedro Raul,Atacante,2,6.23,2,3.033333333333333,3.033333333333333,Inesperado
98225,2,Pedro Raul,Atacante,2,6.23,2,2.275,2.275,Inesperado
98225,2,Pedro Raul,Atacante,2,6.23,2,3.2,3.2,Inesperado
98225,2,Pedro Raul,Atacante,2,6.23,2,4.1499999999999995,4.1499999999999995,Inesperado
98225,2,Pedro Raul,Atacante,2,6.43,2,3.033333333333333,3.033333333333333,Inesperado
98225,2,Pedro Raul,Atacante,2,6.43,2,2.275,2.275,Inesperado
98225,2,Pedro Raul,Atacante,2,6.43,2,3.2,3.2,Inesperado
