apelido;atleta_id;rodada;clube_id;posicao_id;status_id;pontuacao;preco_num;variacao_num;FC;FD;FF;FS;G;I;DS;CA;PE;A;SG;DD;FT;GS;CV;GC;ano;PP;DP;DE;PS;V;PC;posicao;clube;rodada_real;media_pre_rodada;perfil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vegetti;99198;3;267;5;0;18,2;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Vasco;3;8.75;Inesperado;;;;;;Neymar;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;1;;1;1;;;5;0,131578947
Ferreira;101290;3;276;5;0;15,7;0.0;0.0;0.0;0.0;4.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;São Paulo;3;16.500.000.000.000.000;Inesperado;;;;;;Paulo Henrique;;;1;;;;;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;;1;;;;5;0,131578947
Erick Pulga;109401;3;265;5;0;14,4;0.0;0.0;1.0;0.0;1.0;3.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Bahia;3;4.050.000.000.000.000;Inesperado;;;;;;Ferraresi;;1;;;;;;;;;;;;;1;;1;;1;;1;;;;;;;;;;;;;;;;;;;5;0,131578947
Abel Ferreira;110506;3;275;6;0;9,18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Palmeiras;3;5.880.000.000.000.000;Inesperado;;;;;;Vegetti;1;;1;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;5;0,131578947
Cleiton;93882;4;280;1;0;14,1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;7.0;0.0;0.0;0.0;Goleiro;Bragantino;4;39.000.000.000.000.000;Inesperado;;;;;;Filipe Luís;;;;1;;1;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;1;;;;;5;0,131578947
Renê;78445;4;266;2;0;20,5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Fluminense;4;4.7;Inesperado;;;;;;Matheus Pereira;;;;;;1;;1;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;5;0,131578947
Juninho Capixaba;94968;4;280;2;0;20,2;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;5.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Bragantino;4;9.066.666.666.666.660;Inesperado;;;;;;Abel Ferreira;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;1;1;;;;;;;;5;0,131578947
Danilo;69783;4;262;3;0;17,1;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Flamengo;4;0.0;Inesperado;;;;;;William;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;4;0,105263158
Zé Ivaldo;91866;4;277;3;0;14,7;0.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Santos;4;2.766.666.666.666.660;Inesperado;;;;;;Pedro Henrique;;;1;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;4;0,105263158
Arrascaeta;87863;4;262;4;0;18,8;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;4;14.15;Inesperado;;;;;;Walter;;;;;;;;;1;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;4;0,105263158
Savarino;98672;4;263;4;0;19,3;0.0;0.0;0.0;2.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Botafogo;4;2.733.333.333.333.330;Inesperado;;;;;;Alan Patrick;;;;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;4;0,105263158
Barreal;126471;4;277;4;0;19,5;0.0;0.0;3.0;2.0;0.0;2.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Santos;4;66.000.000.000.000.000;Inesperado;;;;;;João Victor;;;;;1;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;4;0,105263158
Pedro;94583;4;262;5;0;14,7;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;1.0;0.0;0.0;1.0;0.0;0.0;Atacante;Flamengo;4;0.0;Inesperado;;;;;;Gabriel;;;;;;;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;;;4;0,105263158
Ferreira;101290;4;276;5;0;14,3;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;São Paulo;4;6.333.333.333.333.330;Inesperado;;;;;;Vitor Roque;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;;;1;;;;;;;;4;0,105263158
Kaio Jorge;103445;4;283;5;0;18;0.0;0.0;1.0;1.0;2.0;1.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;1.0;0.0;0.0;1.0;0.0;0.0;Atacante;Cruzeiro;4;8.5;Inesperado;;;;;;Hernán Crespo;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;1;;;4;0,105263158
Filipe Luís;139076;4;262;6;0;12,09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Flamengo;4;5.873.333.333.333.330;Inesperado;;;;;;Luciano Juba;;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;4;0,105263158
Léo Jardim;87008;5;267;1;0;14,1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;7.0;0.0;0.0;0.0;Goleiro;Vasco;5;-0.36666666666666664;Inesperado;;;;;;Hulk;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;1;;4;0,105263158
Reinaldo;78850;5;2305;2;0;12,2;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Mirassol;5;3.675;Inesperado;;;;;;Léo Ortiz;;;;;;;;1;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;4;0,105263158
Escobar;102975;5;277;2;0;11,4;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Santos;5;9.1;Inesperado;;;;;;Sabino;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;1;;;3;0,078947368
Lyanco;92087;5;282;3;0;14,7;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Atlético-MG;5;31.333.333.333.333.300;Inesperado;;;;;;Memphis Depay;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,078947368
João Victor;104250;5;267;3;0;8,5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Vasco;5;18.333.333.333.333.300;Inesperado;;;;;;Vitinho;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;3;0,078947368
Fernando;52271;5;285;4;0;9,4;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Internacional;5;17.000.000.000.000.000;Inesperado;;;;;;Ferreira;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;0,078947368
Jadson;80129;5;286;4;0;10,4;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;1.0;Meia;Juventude;5;3.625;Inesperado;;;;;;Rayan;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;3;0,078947368
Matheus Alves;141607;5;276;4;0;12,7;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;São Paulo;5;1.15;Inesperado;;;;;;Arboleda;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;;;;;;;;3;0,078947368
Memphis Depay;85048;5;264;5;0;21,7;0.0;0.0;0.0;0.0;4.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Corinthians;5;6.866.666.666.666.660;Inesperado;;;;;;Thiago Silva;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;1;;3;0,078947368
Ángel Romero;88323;5;264;5;0;15,3;0.0;0.0;0.0;1.0;1.0;2.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Corinthians;5;1.725;Inesperado;;;;;;Gabriel Brazão;;;;;;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;3;0,078947368
André Silva;131617;5;276;5;0;17,2;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;São Paulo;5;3.25;Inesperado;;;;;;Willian José;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;3;0,078947368
Fernando Seabra;126977;5;280;6;0;8,8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Bragantino;5;7.205;Inesperado;;;;;;Gabriel Taliari;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;3;0,078947368
